G***:8
H1:1
H2:1
H3:1
H4:1
H5:1
J1:1
J2:1
J3:1
J4:1
J5:1
J6:1
JP1:1
JP2:1
JP3:1
J_CV1:1
J_EXTRA_OUT1:1
J_FM1:1
J_OUT1:1
J_PWM1:1
J_SYNC1:1
R1:1
R2:1
R3:1
R4:1
R5:1
R6:1
R7:1
R8:1
RV_FINE1:1
RV_PWM1:1
RV_TUNE1:1
U1:1
