Designator,Footprint,Quantity,Value,LCSC Part #
"JP1, JP10, JP11, JP12, JP13, JP2, JP3, JP4, JP5, JP6, JP7, JP8, JP9",SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,13,Jumper_2_Bridged,
"J_ENV_VCA1, J_ENV_VCA2, J_FILTER1, J_MIXER1, J_UTILS_OUT1",PinHeader_2x06_P2.54mm_Vertical,5,Conn_01x06,
"J_VCO1, J_VCO2",PinHeader_2x07_P2.54mm_Vertical,2,Conn_01x07,
