Designator,Footprint,Quantity,Value,LCSC Part #
"J_IO1, J_IO2, J_IO3, J_IO4",CUI_SJ1-3554NG,4,SJ1-3554NG,
"RV_LVL1, RV_LVL2",Potentiometer_Bourns_Single-PTV09A,2,100k,
U1,Gyeszno,1,~,
